postalcode,street,lat,lng,price,area,volume,floors,year_build,has_garden,type,photos,rooms
1015 AK Amsterdam,Langestraat 31,52.377990000000004,4.891947,895000,164,450,4,1700,0,woonhuis,42,5
1018 LZ Amsterdam,Kleine Wittenburgerstraat 124,52.37103,4.921513,275000,56,189,1,1981,0,appartement,27,2
1073 TB Amsterdam,Karel du Jardinstraat 53 HS+PP,52.35155,4.895647,550000,83,328,1,2000,1,appartement,39,3
1073 XA Amsterdam,Gerard Doustraat 190 III,52.35642,4.895630000000001,375000,69,222,1,1880,0,appartement,18,2
1067 MT Amsterdam,Jan van Duivenvoordestraat 137,52.379490000000004,4.8025910000000005,249000,97,295,1,2002,0,appartement,22,4
1017 BM Amsterdam,Reguliersdwarsstraat 46 -D*,52.3662,4.891655,650000,96,290,1,1999,0,appartement,26,3
1108 CD Amsterdam,Leerdamhof 334,52.306470000000004,4.977508,160000,71,180,1,1976,1,appartement,28,2
1077 NS Amsterdam,Minervalaan 71 -hs,52.34584,4.873051,1150000,131,445,1,1930,1,appartement,22,5
1066 TK Amsterdam,Blankenbergestraat 61,52.346790000000006,4.80147,450000,170,500,3,1995,1,woonhuis,36,5
1057 PT Amsterdam,Van Kinsbergenstraat 88,52.3687,4.858505999999999,400000,73,235,1,2011,0,appartement,35,3
1054 ZH Amsterdam,Jacob van Lennepkade 71 H,52.36544,4.873928,700000,104,252,4,1895,1,appartement,34,4
1074 GA Amsterdam,Diamantstraat 17 / A-1,52.3518,4.905856,420000,84,238,1,1906,0,appartement,16,4
1013 Amsterdam,Houthavenweg,52.38232,4.894955,454761,93,260,1,2017,0,appartement,9,3
1011 MK Amsterdam,Rapenburgerstraat,52.3695,4.908419,60000,0,0,1,0,0,parkeergelegenheid,1,1
1011 KN Amsterdam,'s-Gravelandse Veer 10 SOUS,52.3679,4.89708,450000,77,308,5,1850,0,appartement,20,2
1052 VL Amsterdam,Gillis van Ledenberchstraat 128 I,52.3754,4.871169999999999,325000,60,180,5,1931,0,appartement,26,3
1108 DT Amsterdam,Leusdenhof 347,52.30692,4.980338,177500,75,266,1,1980,1,appartement,19,3
1012 JS Amsterdam,Dam 5 /N,52.373090000000005,4.89409,2850000,211,580,1,2017,0,appartement,20,4
1013 Amsterdam,Narva Eiland West (Bouwnr. 80),52.38232,4.894955,1037459,170,425,1,2017,0,appartement,8,4
1068 ZW Amsterdam,Geer Ban 29,52.3647,4.8029779999999995,375000,132,459,2,2009,1,woonhuis,31,5
1058 GD Amsterdam,Andreasplein 34,52.356840000000005,4.84521,650000,115,364,1,2010,1,appartement,21,4
1017 GJ Amsterdam,Kerkstraat 205 -B,52.3632,4.890658999999999,499000,74,245,2,1906,0,appartement,16,3
1071 VN Amsterdam,Cornelis Anthoniszstraat 11 II,52.35349,4.883309,395000,53,175,1,1899,0,appartement,21,3
1033 XG Amsterdam,Perseusstraat 10,52.4161,4.87781,200000,84,210,2,1958,1,appartement,28,4
1064 CK Amsterdam,Burgemeester Hogguerstraat 15,52.37142,4.830582,47500,0,0,1,0,0,parkeergelegenheid,8,1
1069 EE Amsterdam,Langswater 601,52.3574,4.78895,169011,73,175,1,1960,0,appartement,16,4
1063 GE Amsterdam,Robbert Cijferstraat 10,52.38346,4.825437,260000,105,263,2,1953,1,woonhuis,21,5
1098 KV Amsterdam,Wethouder Frankeweg 1,52.35119,4.935385,400000,199,660,2,1906,0,appartement,8,1
1022 KD Amsterdam,Noorderkwartier (Bouwnr. 13),52.406040000000004,4.931375,452396,162,405,2,2016,1,woonhuis,5,6
1018 PS Amsterdam,Czaar Peterstraat 102 A Hs,52.3698,4.9292169999999995,225000,39,154,1,1906,1,appartement,15,2
1013 AW Amsterdam,Silodam,52.39247,4.89045,39000,0,0,1,0,0,parkeergelegenheid,1,1
1055 RZ Amsterdam,Nieuwpoortstraat 86 D8,52.38435,4.858146,525000,116,338,2,2017,1,appartement,20,3
1056 VA Amsterdam,Pieter van der Doesstraat 13,52.37259,4.857101999999999,425000,84,252,4,1933,1,appartement,26,4
1056 PN Amsterdam,Orteliusstraat 288 I,52.3728,4.847966,225000,50,158,1,1927,0,appartement,23,3
1077 BE Amsterdam,Apollolaan 86,52.35085,4.878571,2850000,282,1388,3,1952,1,woonhuis,43,9
1051 RG Amsterdam,Van der Palmkade 86,52.38021,4.872756,525000,98,263,2,2000,0,appartement,19,3
1011 GW Amsterdam,Krom Boomssloot 20 -2,52.37189,4.90225,1150000,225,603,2,1636,0,appartement,33,5
1051 TN Amsterdam,Joan Melchior Kemperstraat 113 I,52.38462,4.870604,500000,100,306,1,1905,0,appartement,38,4
1106 WD Amsterdam,Helena Kuipers-Rietberghof 23,52.300340000000006,4.990554,265000,111,330,3,1986,1,woonhuis,20,5
1035 GE Amsterdam,Stellingweg 208,52.416920000000005,4.8948220000000005,348000,90,375,2,1992,1,woonhuis,12,3
1064 NX Amsterdam,Hof van Versailles 33,52.36785,4.8329059999999995,520000,147,514,3,1998,1,woonhuis,25,5
1017 JJ Amsterdam,Prinsengracht 1113 A,52.36274,4.901083,680000,121,338,1,1906,1,appartement,21,2
1094 GR Amsterdam,Madurastraat 70 II,52.36422,4.934501,250000,50,166,1,1906,0,appartement,20,2
1065 BG Amsterdam,Colenbranderhof 30,52.35863,4.820851,775000,217,680,2,1945,1,woonhuis,25,10
1071 ER Amsterdam,Korte Van Eeghenstraat 1 -II-III,52.35817,4.875272,875000,143,518,3,1906,0,appartement,44,6
1061 AX Amsterdam,Postjesweg 138 L,52.36436,4.838217,195000,45,150,1,2008,0,appartement,38,2
1071 AC Amsterdam,Vossiusstraat 18 H,52.360929999999996,4.880689,1450000,175,488,3,1879,1,appartement,27,6
1019 LZ Amsterdam,Barcelonaplein 166,52.37663,4.944275,225000,52,140,1,1993,0,appartement,18,2
1058 GX Amsterdam,Antillenstraat 21 1,52.35929,4.850907,314000,60,175,1,1930,0,appartement,15,3
1077 EP Amsterdam,Gerrit van der Veenstraat 118 A,52.348890000000004,4.869229,150000,0,0,1,0,0,parkeergelegenheid,6,1
1098 XA Amsterdam,Carolina MacGillavrylaan 33,52.357929999999996,4.944577,300000,77,210,1,2010,0,appartement,23,3
1075 CT Amsterdam,Koninginneweg 231 3,52.35197,4.858802,925000,147,546,2,1884,0,appartement,36,4
1069 EH Amsterdam,Langswater 842,52.35904,4.787989,149000,60,180,13,1960,0,appartement,13,3
1097 CP Amsterdam,Willem Beukelsstraat 1 G,52.35373,4.925801,315000,77,240,1,1981,0,appartement,20,3
1060 NV Amsterdam,Brenner 46,52.35136,4.775930000000001,375000,130,422,3,1997,1,woonhuis,24,5
1091 ZE Amsterdam,President Brandstraat 53,52.35425,4.9177230000000005,450000,108,321,2,1992,0,appartement,22,4
1103 LE Amsterdam,Groenhoven 236,52.32443,4.976826,159000,109,336,1,1976,0,appartement,17,3
1019 ND Amsterdam,Venetiëhof 147,52.37688,4.947633000000001,399000,93,323,1,1995,1,appartement,34,3
1012 SC Amsterdam,Nieuwezijds Voorburgwal 56 A,52.37644,4.893358999999999,264995,34,125,1,1912,0,appartement,6,1
1066 WK Amsterdam,Knokkestraat 78,52.34267,4.8039879999999995,425000,127,368,3,1995,1,woonhuis,20,6
1055 EA Amsterdam,Bos en Lommerweg 347 II,52.378029999999995,4.84755,350000,78,215,1,1940,0,appartement,26,4
1056 CL Amsterdam,Mercatorplein 36 -H,52.37042,4.851037,399000,110,308,2,1935,0,appartement,30,3
1069 HM Amsterdam,Lederambachtstraat 222,52.35457,4.795947,182500,0,0,1,0,0,,1,1
1087 GL Amsterdam,Parkeerplaats blok 23b,52.35544,4.997271,30000,0,0,1,0,0,parkeergelegenheid,1,1
1033 JS Amsterdam,Druivenstraat 55,52.41126,4.903109,700000,151,639,2,1994,1,woonhuis,41,4
1071 ZL Amsterdam,Van Breestraat 135 II,52.35559,4.8721309999999995,1200000,148,520,2,1904,1,appartement,35,5
1106 WR Amsterdam,Cornelis Schuurmanhof 13,52.29759,4.992783,210000,80,270,2,1985,1,woonhuis,27,3
1071 VD Amsterdam,Balthasar Floriszstraat 22 I,52.3531,4.8853599999999995,325000,52,167,1,1899,0,appartement,20,3
1098 JK Amsterdam,Archimedesweg 9,52.35698,4.9374400000000005,1075000,182,300,2,1931,1,appartement,34,6
1098 KV Amsterdam,Wethouder Frankeweg 5 I,52.351279999999996,4.935573000000001,450000,81,243,1,1906,0,appartement,25,3
1107 TG Amsterdam,Silvoldestraat 6,52.2904,4.969258,212000,89,316,1,1983,0,woonhuis,1,4
1015 BK Amsterdam,Herengracht 12 -III-IV,52.3788,4.8912,899000,125,350,3,1605,0,appartement,22,2
1065 AH Amsterdam,Willem Mollhof 13,52.36155,4.825215,325000,97,352,2,1957,1,woonhuis,30,5
1018 Amsterdam,Cruquiuskade,52.37024,4.914168,20000,0,0,1,0,0,parkeergelegenheid,5,1
1013 Amsterdam,Narva Eiland West (Bouwnr. 79),52.38232,4.894955,663098,121,302,1,2017,0,appartement,9,4
1028 BR Amsterdam,Dorpsweg Ransdorp 68 B,52.39349,4.994292,749000,136,969,2,1981,1,woonhuis,33,4
1013 CE Amsterdam,Noordkaapstraat 9,52.39001,4.882264,275000,61,185,1,1985,0,appartement,17,3
1067 AN Amsterdam,Pieter Postsingel 24,52.383590000000005,4.800263,300000,121,305,3,1955,1,woonhuis,29,4
1069 HV Amsterdam,Rengerskerkestraat 14,52.35492,4.793383,225000,97,300,5,2008,0,appartement,12,3
1024 CX Amsterdam,Markengouw 117,52.39236,4.960525,365000,118,420,3,2016,1,woonhuis,34,5
1025 JH Amsterdam,Bovenover 27,52.39634,4.931411,175000,55,158,1,1969,0,appartement,17,2
1067 NB Amsterdam,Berlagehof 32,52.37709,4.795088,250000,107,369,1,1950,1,woonhuis,19,5
1017 DN Amsterdam,Keizersgracht 515 -F,52.365190000000005,4.888431,580000,83,300,1,1906,0,appartement,30,3
1087 LS Amsterdam,Emmy Andriessestraat 430,52.346940000000004,5.009539,549000,136,569,3,2007,1,woonhuis,42,5
1065 LZ Amsterdam,Jan Muschstraat 42,52.35654,4.820981,139000,32,100,2,1984,0,appartement,23,2
